,h2h
184,1.0
185,0.3333333333333333
186,0.8
187,0.2857142857142857
188,1.0
189,1.0
190,0.6
191,0.3333333333333333
192,0.5
193,0.5555555555555556
194,0.0
195,0.0
196,1.0
197,0.5
198,0.0
199,0.375
200,1.0
201,0.6
202,0.5
203,0.5
204,0.75
205,0.5
206,1.0
207,0.5
208,1.0
209,0.3333333333333333
210,0.6666666666666666
211,0.6666666666666666
212,0.0
213,0.25
214,0.0
215,0.3333333333333333
216,0.5
217,0.0
218,0.5
219,0.2857142857142857
220,1.0
221,0.6666666666666666
222,0.3333333333333333
223,0.38461538461538464
224,1.0
225,0.0
226,0.75
227,1.0
228,0.25
229,0.5
230,1.0
231,0.5714285714285714
232,0.0
233,0.5
234,0.0
235,0.2222222222222222
236,0.5
237,1.0
238,0.6666666666666666
239,0.0
240,0.0
241,0.0
242,0.4
243,0.0
244,1.0
245,0.0
246,0.0
247,0.5
248,0.6
249,0.5
250,0.5
251,1.0
252,0.5
253,0.5
254,1.0
255,0.5
256,0.5555555555555556
257,0.0
258,0.6666666666666666
259,0.5555555555555556
260,0.0
261,0.5
262,0.8333333333333334
263,0.0
264,0.7777777777777778
265,0.0
266,0.0
267,1.0
268,1.0
269,0.5
270,1.0
271,0.3333333333333333
272,0.6666666666666666
273,0.5
274,0.5
275,1.0
276,0.0
277,1.0
278,0.0
279,0.0
280,0.2
281,0.0
282,0.0
283,1.0
284,0.3333333333333333
285,0.5
286,0.0
287,0.5
288,0.2857142857142857
289,1.0
290,0.0
291,0.0
292,0.5
293,0.3333333333333333
294,0.8
295,0.6666666666666666
296,1.0
297,1.0
298,1.0
299,0.6666666666666666
300,1.0
301,1.0
302,0.4
303,1.0
304,1.0
305,0.0
306,0.5
307,1.0
308,0.6666666666666666
309,0.3333333333333333
310,1.0
311,0.5
312,0.5
313,1.0
314,1.0
315,0.0
316,1.0
317,1.0
318,0.75
319,1.0
320,1.0
321,1.0
322,0.0
323,1.0
324,1.0
325,0.5
326,0.0
327,0.7142857142857143
328,0.0
329,1.0
330,0.5
331,0.5
332,0.5
333,1.0
334,1.0
335,0.6666666666666666
336,0.0
337,0.5
338,0.5
339,1.0
340,0.0
341,0.75
342,1.0
343,1.0
344,0.6666666666666666
345,1.0
346,0.5
347,0.5
348,0.8
349,1.0
350,0.5
351,0.6666666666666666
352,0.75
353,0.5
354,1.0
355,0.4444444444444444
356,0.0
357,0.5714285714285714
358,0.0
359,0.0
360,1.0
361,0.5
362,0.25
363,1.0
364,0.0
365,1.0
366,0.0
367,0.0
368,0.7142857142857143
369,0.0
370,0.6666666666666666
371,0.4444444444444444
372,0.0
373,0.5
374,1.0
375,0.0
376,0.5
377,1.0
378,0.0
379,1.0
380,1.0
381,0.3333333333333333
382,0.0
383,0.5
384,0.6
385,0.0
386,1.0
387,0.8
388,0.5
389,0.8
390,0.3333333333333333
391,0.0
392,0.0
393,0.6666666666666666
394,0.6666666666666666
395,0.0
396,0.0
397,0.4444444444444444
398,1.0
399,0.0
400,1.0
401,0.0
402,1.0
403,0.75
404,1.0
405,0.0
406,1.0
407,0.4
408,1.0
409,0.3333333333333333
410,1.0
411,0.5
412,1.0
413,0.4166666666666667
414,0.75
415,0.5
416,0.0
417,0.5
418,0.0
419,1.0
420,0.6666666666666666
421,0.4
422,1.0
423,0.5
424,0.5
425,1.0
426,0.0
427,1.0
428,0.0
429,0.4
430,0.0
431,0.0
432,0.5
433,1.0
434,0.0
435,0.5
436,0.5
437,0.5
438,0.0
439,0.8
440,0.5
441,1.0
442,0.0
443,0.8
444,0.5
445,0.16666666666666666
446,0.3333333333333333
447,0.5
448,1.0
449,0.0
450,0.5
451,0.5
452,0.0
453,0.5
454,1.0
455,1.0
456,0.0
457,0.6
458,0.0
459,1.0
460,0.38461538461538464
461,0.5
462,0.5
463,0.3333333333333333
464,1.0
465,0.0
466,0.0
467,0.0
468,1.0
469,0.5
470,0.5
471,0.5
472,0.8
473,1.0
474,1.0
475,1.0
476,0.6666666666666666
477,1.0
478,0.0
479,1.0
480,0.5
481,0.45454545454545453
482,0.6666666666666666
483,0.5
484,0.5
485,0.5
486,0.25
487,0.8
488,0.0
489,1.0
490,0.3333333333333333
491,0.0
492,0.3333333333333333
493,1.0
494,0.5
495,0.0
496,0.0
497,1.0
498,1.0
499,0.0
500,0.6666666666666666
501,0.6
502,0.0
503,0.0
504,0.75
505,0.6
506,0.0
507,1.0
508,0.0
509,0.5
510,0.6666666666666666
511,0.3333333333333333
512,1.0
513,0.3333333333333333
514,0.75
515,0.4
516,0.5
517,0.42857142857142855
518,0.5
519,0.4
520,1.0
521,0.5
522,1.0
523,0.0
524,0.0
525,0.5
526,0.2
527,0.3333333333333333
528,0.5
529,0.5
530,0.42857142857142855
531,1.0
532,0.6666666666666666
533,0.0
534,0.0
535,0.0
536,1.0
537,0.5
538,1.0
539,0.0
540,1.0
541,0.5714285714285714
542,0.5
543,1.0
544,0.5
545,0.0
546,0.5
547,0.3333333333333333
548,1.0
549,0.0
550,1.0
551,0.0
552,1.0
553,0.0
554,0.0
555,0.6
556,1.0
557,1.0
558,0.0
559,1.0
560,0.5
561,1.0
562,0.0
563,0.5
564,0.0
565,0.5
566,0.0
567,0.3333333333333333
568,0.5
569,0.0
570,0.4
571,0.75
572,0.8
573,0.6666666666666666
574,0.0
575,0.5714285714285714
576,0.6
577,0.6666666666666666
578,0.38461538461538464
579,0.3333333333333333
580,0.0
581,0.5
582,1.0
583,1.0
584,0.0
585,0.3333333333333333
586,0.6666666666666666
587,1.0
588,0.0
589,1.0
590,0.5
591,1.0
592,0.6
593,1.0
594,0.5
595,0.0
596,1.0
597,0.0
598,1.0
599,0.0
600,0.5
601,1.0
602,1.0
603,0.5
604,0.0
605,0.75
606,1.0
607,1.0
608,0.0
609,0.625
610,0.0
611,0.5
612,0.16666666666666666
613,0.25
614,0.5714285714285714
615,1.0
616,0.75
617,1.0
618,0.0
619,1.0
620,0.0
621,0.0
622,0.0
623,1.0
624,1.0
625,0.25
626,1.0
627,1.0
628,1.0
629,0.3333333333333333
630,0.0
631,0.6666666666666666
632,0.0
633,0.5
634,0.5
635,0.5
636,0.0
637,0.5
638,0.16666666666666666
639,0.0
640,0.75
641,0.0
642,0.0
643,1.0
644,1.0
645,0.75
646,0.8
647,1.0
648,1.0
649,0.0
650,0.42857142857142855
651,1.0
652,0.5
653,0.0
654,0.0
655,0.5
656,0.0
657,0.5
658,0.3333333333333333
659,1.0
660,0.0
661,0.7777777777777778
662,0.6666666666666666
663,0.0
664,0.0
665,0.3
666,0.0
667,0.5
668,0.0
669,0.5
670,0.0
671,0.5555555555555556
672,0.0
673,1.0
674,0.3333333333333333
675,0.0
676,0.0
677,0.2
678,1.0
679,0.4
680,0.5
681,0.5
682,1.0
683,0.25
684,0.6666666666666666
685,0.0
686,1.0
687,0.0
688,0.0
689,0.8
690,0.5
691,0.0
692,1.0
693,0.5
694,0.0
695,1.0
696,1.0
697,0.5
698,0.0
699,0.5
700,0.6666666666666666
701,0.0
702,0.5
703,1.0
704,1.0
705,1.0
706,0.25
707,0.0
708,0.5
709,0.0
710,0.5
711,0.0
712,0.0
713,0.0
714,0.5
715,1.0
716,0.3333333333333333
717,0.0
718,0.75
719,0.75
720,0.6666666666666666
721,0.0
722,0.5
723,0.6666666666666666
724,1.0
725,0.6666666666666666
726,0.3333333333333333
727,1.0
728,1.0
